Date,Opening Balance,Interest Due,Interest Paid,Principal Repayment,Total Repayment,Closing Balance,Cumm Interest Paid,Cumm Total Repayment,
07/31/18,"5,000,000.00",0.00,0.00,0.00,0.00,"5,000,000.00",0.00,0.00,
08/31/18,"5,000,000.00",0.00,0.00,0.00,0.00,"5,000,000.00",0.00,0.00,
09/30/18,"5,000,000.00",0.00,0.00,"-1,500,000.00","1,500,000.00","3,500,000.00",0.00,"1,500,000.00",
10/31/18,"3,500,000.00",0.00,0.00,"-1,000,000.00","1,000,000.00","2,500,000.00",0.00,"2,500,000.00",
11/30/18,"2,500,000.00",0.00,0.00,0.00,0.00,"2,500,000.00",0.00,"2,500,000.00",
12/31/18,"2,500,000.00",0.00,0.00,0.00,0.00,"2,500,000.00",0.00,"2,500,000.00",
01/31/19,"2,500,000.00",0.00,0.00,"-1,500,000.00","1,500,000.00","1,000,000.00",0.00,"4,000,000.00",
02/28/19,"1,000,000.00",0.00,0.00,0.00,0.00,"1,000,000.00",0.00,"4,000,000.00",
03/31/19,"1,000,000.00",0.00,0.00,0.00,0.00,"1,000,000.00",0.00,"4,000,000.00",
04/30/19,"1,000,000.00",0.00,0.00,"-1,000,000.00","1,000,000.00",0.00,0.00,"5,000,000.00",
05/30/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,000,000.00",
06/30/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,000,000.00",
