DAATI'S PRIDE SCHOOL STRUCTURED INVESTMENT NOTE LIQUIDATION AND DIVIDEND,,,,,,,,,,
Date,Opening Balance,Interest Due,Interest Paid,Principal Repayment,Total Repayment,Closing Balance,Cumm Interest Paid,Cumm Total Repayment,5%,
07/31/18,"5,000,000.00","250,000.00","-250,000.00",0.00,"250,000.00","5,000,000.00","250,000.00","250,000.00",  b n ,
08/31/18,"5,000,000.00","250,000.00","-250,000.00",0.00,"250,000.00","5,000,000.00","500,000.00","500,000.00",,
09/30/18,"5,000,000.00","250,000.00","-250,000.00","-1,500,000.00","1,750,000.00","3,500,000.00","750,000.00","2,250,000.00",,
10/31/18,"3,500,000.00","175,000.00","-175,000.00","-1,000,000.00","1,175,000.00","2,500,000.00","925,000.00","3,425,000.00",,
11/30/18,"2,500,000.00","125,000.00","-125,000.00",0.00,"125,000.00","2,500,000.00","1,050,000.00","3,550,000.00",,
12/31/18,"2,500,000.00","125,000.00","-125,000.00",0.00,"125,000.00","2,500,000.00","1,175,000.00","3,675,000.00",,
01/31/19,"2,500,000.00","125,000.00","-125,000.00","-1,500,000.00","1,625,000.00","1,000,000.00","1,300,000.00","5,300,000.00",,
02/28/19,"1,000,000.00","50,000.00","-50,000.00",0.00,"50,000.00","1,000,000.00","1,350,000.00","5,350,000.00",,
03/31/19,"1,000,000.00","50,000.00","-50,000.00",0.00,"50,000.00","1,000,000.00","1,400,000.00","5,400,000.00",,
04/30/19,"1,000,000.00","50,000.00","-50,000.00","-1,000,000.00","1,050,000.00",0.00,"1,450,000.00","6,450,000.00",,
05/30/19,0.00,0.00,0.00,0.00,0.00,0.00,"1,450,000.00","6,450,000.00",,
06/30/19,0.00,0.00,0.00,0.00,0.00,0.00,"1,450,000.00","6,450,000.00",,
